Index,Optimizer_Curtailment_MW,AI_Safety_Curtailment_MW,Curtailment_Difference_MW,Optimizer_Solar_Headroom_MW,Optimizer_Wind_Headroom_MW,AI_Safety_Solar_Headroom_MW,AI_Safety_Wind_Headroom_MW,Safety_Result,Final_Min_Voltage,Final_Max_Voltage
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9509192329425719,1.0161978239613731
260,0.0,0.02939603701859993,0.02939603701859993,0.0,0.0,0.0,0.02939603701859993,AI Direct,0.9501170768765484,1.0283107250568864
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9501683748895376,1.0014185046401531
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9502356865848728,1.015874955959817
263,3.2576176654232123,3.844360196732515,0.5867425313093029,0.0,3.2576176654232123,0.22176756453130494,3.62259263220121,AI Direct,0.9527514248250029,1.0497141508592818
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9508758077191153,1.0151132866471793
267,0.0,0.003809697334783376,0.003809697334783376,0.0,0.0,0.0007975719061953233,0.0030121254285880527,Safety Corrected,0.9501648592722317,1.034383032861872
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9502531413753573,1.014289955082342
275,0.0,1.0343511337517743,1.0343511337517743,0.0,0.0,0.9313849672473027,0.10296616650447164,Safety Corrected,0.9503412854787089,1.0485922275720863
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504850567150857,1.024979507936878
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9503824277199939,1.0381483855480027
289,0.0,0.026831532879308763,0.026831532879308763,0.0,0.0,0.008175112038502063,0.018656420840806702,Safety Corrected,0.9506742641485694,1.0402035277140917
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.950490763818314,1.019990907968121
312,0.0,0.006675190129107265,0.006675190129107265,0.0,0.0,0.0,0.006675190129107265,Safety Corrected,0.9501504668542355,1.0332780765097533
313,9.79028797268166,10.195751804526958,0.40546383184529766,0.0,9.79028797268166,0.12080518737795562,10.074946617149003,AI Direct,0.9514425421645298,1.04998989686454
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9499995530679698,1.0155202544705322
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9501502123855691,1.0266020433576686
322,0.0,0.2859456138948229,0.2859456138948229,0.0,0.0,0.04595223251953441,0.23999338137528853,Safety Corrected,0.9500270526746393,1.0377225711739728
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9505051108718431,1.0165143795270335
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9500820244146245,1.027462284588544
325,2.010309456357263,2.4708692202307336,0.46055976387347064,0.0,2.010309456357263,0.16120344884930576,2.309665771381428,Safety Corrected,0.9513976303501175,1.0498203309322571
335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9505091348919306,1.0144558781768427
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9501313789004503,1.0245186254397975
337,0.0,0.6237270045545448,0.6237270045545448,0.0,0.0,0.18436674011632545,0.43936026443821935,Safety Corrected,0.9500375617621973,1.0440675555175252
373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504826703121465,1.0358597533295666
374,0.0,0.006928725291865715,0.006928725291865715,0.0,0.0,0.006928725291865715,0.0,AI Direct,0.950542213688041,1.04611693428814
375,0.0,4.807479350634619,4.807479350634619,0.0,0.0,4.211379099985808,0.5961002506488112,Safety Corrected,0.9500528424598361,1.0500000000000003
376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9504856832349244,1.035865627885841
377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9502733425873297,1.0461445018208793
378,0.6693191755208727,3.4571990404846895,2.787879864963817,0.0,0.6693191755208727,1.2516221452004017,2.205576895284288,AI Direct,0.9503329768433088,1.0481945320903838
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AI Direct,0.9500016797183602,1.027686965293866
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safety Corrected,0.9502491020033846,1.0377103851057974
409,22.16429518391545,25.77108738225567,3.6067921983402194,6.439043088575175,15.725252095340275,12.09588492593262,13.67520245632305,Safety Corrected,0.9503760354925999,1.05
