Index,Load_Level,Solar_Level,Wind_Level,From_Bus,To_Bus,Before_Min_Voltage,Solar_Headroom_MW,Wind_Headroom_MW,Solar_Support_pu,Wind_Support_pu,Total_Curtailment_MW,After_Min_Voltage,After_Max_Voltage,Safety_Result
161,1.05,0.7,0.6,8,2,0.929456165380074,0.0,0.0,1.0000000000000007,1.0460847664478925,0.0,0.9502217159045291,1.0460847664478925,Safety Corrected
162,1.05,0.7,0.7,6,7,0.940602029591952,0.0,0.0,1.0101895044725893,1.000089630484029,0.0,0.9501939423917122,1.0101895044725888,AI Direct
163,1.05,0.7,0.7,7,8,0.9252455648646456,0.0,0.0,1.003367399402337,1.0255536080395151,0.0,0.9501404746330766,1.025553608039515,Safety Corrected
164,1.05,0.7,0.7,8,2,0.931814672281795,0.0,0.0,1.0000020228342419,1.0407861643792968,0.0,0.950108179714559,1.040786164379297,AI Direct
174,1.05,0.8,0.6,6,7,0.9417962517320488,0.0,0.0,1.0099783802321733,1.0013624420868168,0.0,0.9512554347828547,1.0099783802321733,AI Direct
175,1.05,0.8,0.6,7,8,0.922466474297611,0.0,0.0,1.015188681034193,1.0277485504389954,0.0,0.9500892526005865,1.0277485504389954,Safety Corrected
176,1.05,0.8,0.6,8,2,0.929456165380074,0.0,0.0,1.0000472358394388,1.046019115553865,0.0,0.9501924143663162,1.0460191155538652,Safety Corrected
189,1.05,0.9,0.6,6,7,0.9422233975214336,0.0,0.0,1.0091168470869165,1.000674927845144,0.0,0.9508766688959936,1.0091168470869165,AI Direct
190,1.05,0.9,0.6,7,8,0.9218543642061604,0.0,0.0,1.0283383047376562,1.0271499792150558,0.0,0.950332999735046,1.0283383047376562,Safety Corrected
191,1.05,0.9,0.6,8,2,0.929456165380074,0.0,0.0,1.0002283467065454,1.0459436026447932,0.0,0.950158710238304,1.0459436026447928,Safety Corrected
192,1.05,0.9,0.7,6,7,0.942109457330928,0.0,0.0,1.0088213294446846,1.0003539135634312,0.0,0.9504718682882336,1.0088213294446846,AI Direct
193,1.05,0.9,0.7,7,8,0.9241618444695832,0.0,0.0,1.0267573266244443,1.0251117076752092,0.0,0.9504170549487948,1.026757326624444,Safety Corrected
194,1.05,0.9,0.7,8,2,0.931814672281795,0.0,0.0,1.0000911684962086,1.04073969238203,0.0,0.9500875065750858,1.0407396923820293,AI Direct
222,1.1,0.6,0.7,3,6,0.9460176071499468,0.0,0.0,1.008813364031722,1.0001358626143386,0.0,0.950453438078757,1.008813364031722,Safety Corrected
223,1.1,0.6,0.7,6,7,0.9323865638820455,0.0,0.0,1.0221131902210376,1.0000313899204138,0.0,0.9504244471285473,1.0221131902210379,Safety Corrected
224,1.1,0.6,0.7,7,8,0.9172279455635672,0.0,0.003791118110496154,1.0091903318055144,1.032575221514324,0.003791118110496154,0.9505495044914484,1.0325752215143242,Safety Corrected
225,1.1,0.6,0.8,3,6,0.9460176071499468,0.0,0.0,1.0087708083679279,1.000086213730858,0.0,0.9504320462085426,1.008770808367928,Safety Corrected
226,1.1,0.6,0.8,6,7,0.9322769229651096,0.0,0.0,1.0220963426771312,1.0000313899204138,0.0,0.9500679099285354,1.022096342677131,Safety Corrected
227,1.1,0.6,0.8,7,8,0.9195038997757228,0.0,0.0032495298089967035,1.0083495091735442,1.0304363573902606,0.0032495298089967035,0.9505489758537877,1.0304363573902606,Safety Corrected
228,1.1,0.6,0.9,3,6,0.9460176071499468,0.0,0.0,1.0079520942870863,1.0001913067263253,0.0,0.9500204452042633,1.0079520942870863,AI Direct
229,1.1,0.6,0.9,6,7,0.9321325672304068,0.0,0.0,1.0228886079405153,1.0010624408179152,0.0,0.9500940520281531,1.0228886079405153,Safety Corrected
230,1.1,0.6,0.9,7,8,0.9215291527703862,0.0,0.022591834775006127,1.009413167063814,1.0282264046542564,0.022591834775006127,0.9503288066602189,1.0282264046542562,Safety Corrected
258,1.1,0.8,0.9,3,6,0.9494528445010252,0.0,0.0,1.0012673947248867,1.0000027083470497,0.0,0.950092165652912,1.001267394724887,AI Direct
259,1.1,0.8,0.9,6,7,0.9355353492529844,0.0,0.0,1.0161978239613734,1.000012173921235,0.0,0.9509192329425719,1.0161978239613731,Safety Corrected
260,1.1,0.8,0.9,7,8,0.9207347658980276,0.0,0.02939603701859993,1.0204567048717632,1.0283107250568864,0.02939603701859993,0.9501170768765484,1.0283107250568864,AI Direct
261,1.1,0.8,1.0,3,6,0.9494528445010252,0.0,0.0,1.0014185046401531,1.0000027083470497,0.0,0.9501683748895376,1.0014185046401531,AI Direct
262,1.1,0.8,1.0,6,7,0.935344726563642,0.0,0.0,1.0158749559598172,1.0000188769762681,0.0,0.9502356865848728,1.015874955959817,AI Direct
263,1.1,0.8,1.0,7,8,0.897583350986311,0.22176756453130494,3.62259263220121,1.0497141508592818,1.0476927296039327,3.844360196732515,0.9527514248250029,1.0497141508592818,AI Direct
266,1.1,0.9,0.7,6,7,0.9364760070178966,0.0,0.0,1.0151132866471795,1.0000000000000027,0.0,0.9508758077191153,1.0151132866471793,Safety Corrected
267,1.1,0.9,0.7,7,8,0.9158413072316128,0.0007975719061953233,0.0030121254285880527,1.0343830328618717,1.032990306824025,0.003809697334783376,0.9501648592722317,1.034383032861872,Safety Corrected
274,1.1,1.0,0.6,6,7,0.9365657451476036,0.0,0.0,1.014289955082342,1.0001569617270383,0.0,0.9502531413753573,1.014289955082342,AI Direct
275,1.1,1.0,0.6,7,8,0.9125377427713156,0.9313849672473027,0.10296616650447164,1.048592227572086,1.0362983969718118,1.0343511337517743,0.9503412854787089,1.0485922275720863,Safety Corrected
287,1.15,0.6,0.7,3,6,0.9377449599538136,0.0,0.0,1.024979507936878,1.0000532233224746,0.0,0.9504850567150857,1.024979507936878,Safety Corrected
288,1.15,0.6,0.7,6,7,0.9256297897068352,0.0,0.0,1.0381483855480025,1.0000000000000002,0.0,0.9503824277199939,1.0381483855480027,Safety Corrected
289,1.15,0.6,0.7,7,8,0.908388677724944,0.008175112038502063,0.018656420840806702,1.0252180925641765,1.0402035277140915,0.026831532879308763,0.9506742641485694,1.0402035277140917,Safety Corrected
311,1.15,0.7,1.0,3,6,0.940310876038344,0.0,0.0,1.0199909079681213,1.000061891931205,0.0,0.950490763818314,1.019990907968121,Safety Corrected
