Index,Fixed_Headroom_Percent,Curtailment_MW,Solved,Secure,Final_Min_Voltage,Final_Max_Voltage
374,5,8.255,True,True,0.957223826278723,1.05
375,5,8.255,True,False,0.9493845002105219,1.0500000000000005
376,5,8.68,True,True,0.9567606386490934,1.05
377,5,8.68,True,True,0.9571515963195812,1.0500000000000005
378,5,8.68,True,True,0.9521375741001739,1.05
407,5,10.735000000000001,True,True,0.960855728088016,1.05
408,5,10.735000000000001,True,True,0.9616167703768714,1.0500000000000003
409,5,10.735000000000001,True,False,0.9329970895611638,1.05
7,10,18.28,True,False,0.9522181845816271,1.0501887182962928
8,10,16.51,True,True,0.9894919314804385,1.0500000000000005
9,10,16.51,True,False,0.9532007602126021,1.0502672751830566
10,10,17.36,True,True,0.9900116754664047,1.05
11,10,17.36,True,False,0.9528454233045998,1.05034991401659
26,10,20.62,True,True,0.9820710217235876,1.05
27,10,20.62,True,False,0.9504912430662777,1.0500807584052259
28,10,21.470000000000002,True,True,0.982461549678018,1.05
29,10,21.470000000000002,True,False,0.9495773211609262,1.05
34,10,21.400000000000002,True,True,0.9764853181362271,1.0500000000000003
35,10,21.400000000000002,True,False,0.9496758538732042,1.0500000000000003
53,10,19.91,True,True,0.9869653892524664,1.0500000000000005
56,10,19.840000000000003,True,True,0.9826629012467489,1.05
59,10,19.770000000000003,True,True,0.977285496374588,1.0500000000000005
60,10,20.62,True,True,0.9778962949942461,1.0500000000000003
62,10,22.32,True,True,0.9788112239020504,1.05
63,10,23.17,True,True,0.9791241748551561,1.05
68,10,24.8,True,True,0.9740568939096038,1.05
78,10,17.43,True,False,0.9797888611211923,1.050266861455979
79,10,17.43,True,True,0.9849286352708446,1.0500000000000003
80,10,17.43,True,True,0.9663367654017454,1.05
147,10,15.73,True,True,0.9739849370296858,1.05
148,10,15.73,True,True,0.9759593155586804,1.0500000000000005
149,10,15.73,True,True,0.9526610593853145,1.05
159,10,16.51,True,True,0.9765596655343932,1.0500000000000003
160,10,16.51,True,True,0.9737145547677876,1.05
161,10,16.51,True,True,0.950518701109883,1.05
162,10,17.36,True,True,0.9763833578912516,1.0500000000000003
163,10,17.36,True,True,0.9757579415369305,1.05
164,10,17.36,True,True,0.9526610593853145,1.05
174,10,18.14,True,True,0.9781229927834806,1.05
175,10,18.14,True,True,0.9719312805714194,1.05
176,10,18.14,True,True,0.950518701109883,1.05
189,10,19.770000000000003,True,True,0.9788724707187334,1.05
190,10,19.770000000000003,True,True,0.9678953434181831,1.05
191,10,19.770000000000003,True,True,0.950518701109883,1.05
192,10,20.62,True,True,0.9786520520787425,1.05
193,10,20.62,True,True,0.9687842899152196,1.05
194,10,20.62,True,True,0.9526610593853145,1.05
222,10,15.73,True,True,0.9694595991595815,1.0500000000000005
223,10,15.73,True,True,0.9670834985930686,1.0500000000000005
224,10,15.73,True,True,0.9681721782636894,1.0500000000000003
